,buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),living rooms(Number),Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space()1000 sqm,Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR)
2009,11364,-,-,-,9043,1272,123,-1,0,4390,5758041,-,7279,63121,-,8102,935,86,2,0,3365,4734862,-,-,-,4085,942,337,37,-3,0,1025,1023179
2010,12296,-,-,-,9985,1430,129,13,1,4778,5980689,-,8072,71386,-,8931,1027,93,6,0,3654,4807387,-,-,-,4224,1054,403,37,7,0,1124,1173302
2011,14005,-,-,-,11409,1946,180,23,1,6554,7271074,-,9044,83213,-,10179,1752,151,14,1,5792,6028328,-,-,-,4961,1230,194,30,9,0,762,1242746
2012,13143,-,-,-,11011,1683,155,-,-,5782,7324562,-,8501,81030,-,9923,1142,110,-,-,4163,6075090,-,-,-,4642,1087,541,45,-,-,1619,1249472
2013,12192,-,-,-,10460,1976,179,-,-,6749,7267105,-,7685,76807,-,9101,1332,125,-,-,4578,5859726,-,-,-,4507,1359,644,54,-,-,2171,1407379
2014,11938,-,-,-,10169,1957,173,-,-,6230,7225097,-,7433,74981,-,8951,1513,127,-,-,4609,5724196,-,-,-,4505,1218,444,46,-,-,1621,1500901
2015,11933,-,-,-,10934,1941,172,-,-,5880,7612564,-,7423,81787,-,9643,1176,108,-,-,3886,6005710,-,-,-,4510,1291,765,64,-,-,1994,1606854
2016,12583,-,-,-,11614,2908,236,-,-,8407,8786687,-,7953,91591,-,10656,1950,157,-,-,5596,7177405,-,-,-,4630,958,958,79,-,-,2811,1609282
2017,11963,-,-,-,10857,2434,201,-,-,7089,7843138,-,7465,88398,-,9937,1491,119,-,-,4369,6386533,-,-,-,4498,920,943,82,-,-,2720,1456605
2018,11587,-,-,-,11290,2162,182,-,-,6303,8583395,-,7292,89387,-,10403,1305,119,-,-,4135,7142810,-,-,-,4295,887,857,62,-,-,2168,1440585
2019,11506,-,-,-,11117,2003,173,-,-,6221,8667818,-,7332,88557,-,10209,1217,106,-,-,3789,7127224,-,-,-,4174,908,786,68,-,-,2432,1540594
2020,11131,-,-,-,11891,2036,169,-,-,5850,9710467,-,7168,100877,-,11113,1333,109,-,-,3785,8206995,-,-,-,3963,778,703,60,-,-,2065,1503472
2021,11998,-,-,-,11886,3037,231,-,-,8210,9379588,-,7851,97324,-,10678,2032,151,-,-,5362,7882008,-,-,-,4147,1208,1005,81,-,-,2848,1497580
Hotels und Gaststätten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2293,-,-,-,725,180,15,-7,0,468,964538,-,730,2546,-,532,191,16,-,-,649,609928,-,-,-,1563,193,-11,-1,-7,0,-181,354610
2002,1980,-,-,-,784,204,17,-110,-2,482,1074005,-,649,2930,-,614,155,16,-,-,566,735475,-,-,-,1331,170,49,1,-110,-2,-84,338530
2003,1838,-,-,-,684,174,10,16,0,368,934725,-,592,2592,-,537,184,16,-,-,632,639435,-,-,-,1246,148,-10,-6,16,0,-264,295290
2004,1820,-,-,-,700,138,15,-150,-2,275,951722,-,581,2524,-,533,111,10,13,0,434,649326,-,-,-,1239,167,27,6,-163,-3,-159,302396
2005,1880,-,-,-,643,50,7,10,0,90,833694,-,571,2262,-,498,82,8,4,0,329,537078,-,-,-,1309,145,-32,-1,6,0,-239,296616
2006,2001,-,-,-,594,-21,1,-12,0,-103,848908,-,644,2164,-,458,140,12,-,-,466,533995,-,-,-,1357,136,-161,-10,-12,0,-569,314913
2007,2052,-,-,-,845,-1,2,55,1,15,1359915,-,566,3647,-,684,125,12,3,0,466,946624,-,-,-,1486,161,-126,-10,52,1,-451,413291
2008,2191,-,-,-,954,26,2,-346,-6,-490,1497542,-,683,3889,-,790,204,14,-,-,558,1075881,-,-,-,1508,164,-178,-12,-346,-6,-1048,421661
2009,1959,-,-,-,736,-118,-15,-121,-2,-831,1207729,-,605,2712,-,577,136,12,-,-,442,806475,-,-,-,1354,159,-254,-27,-121,-2,-1273,401254
2010,1836,-,-,-,644,-108,-9,-12,0,-573,1234841,-,512,2553,-,494,136,13,-,-,471,770211,-,-,-,1324,150,-244,-22,-12,0,-1044,464630
2011,1849,-,-,-,727,28,5,-60,-2,-112,1242554,-,497,2734,-,569,60,6,-,-,232,824259,-,-,-,1352,159,-32,-1,-60,-2,-344,418295
2012,1880,-,-,-,835,-230,-7,-,-,-665,1366819,-,475,3161,-,672,82,7,-,-,290,956804,-,-,-,1405,163,-312,-14,-,-,-955,410015
2013,1971,-,-,-,789,13,2,-,-,-117,1419451,-,554,3100,-,631,187,16,-,-,518,968429,-,-,-,1417,158,-174,-14,-,-,-635,451022
2014,1880,-,-,-,742,505,19,-,-,486,1466763,-,443,3124,-,617,420,30,-,-,929,1044324,-,-,-,1437,125,85,-11,-,-,-443,422439
2015,1946,-,-,-,896,29,0,-,-,-182,1936109,-,503,3736,-,736,102,9,-,-,355,1333749,-,-,-,1443,159,-73,-9,-,-,-537,602360
2016,2392,-,-,-,1023,346,17,-,-,307,2124913,-,724,4226,-,851,129,10,-,-,390,1465179,-,-,-,1668,171,217,7,-,-,-83,659734
2017,2095,-,-,-,1131,12,-9,-,-,-386,2321275,-,573,4666,-,975,175,11,-,-,436,1729559,-,-,-,1522,156,-163,-20,-,-,-822,591716
2018,2282,-,-,-,1266,504,20,-,-,484,2842467,-,702,5493,-,1102,567,36,-,-,1169,2141496,-,-,-,1580,163,-63,-16,-,-,-685,700971
2019,2389,-,-,-,1400,99,-5,-,-,-310,2884567,-,772,5896,-,1225,147,13,-,-,466,2230512,-,-,-,1617,175,-48,-18,-,-,-776,654055
2020,2110,-,-,-,1258,169,11,-,-,190,3276412,-,655,5627,-,1110,406,25,-,-,938,2420494,-,-,-,1455,148,-237,-14,-,-,-748,855918
2021,2129,-,-,-,1022,480,19,-,-,425,2622709,-,710,4666,-,892,471,26,-,-,1003,2014900,-,-,-,1419,131,9,-7,-,-,-578,607809
Sonstige Nichtwohngebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6805,-,-,-,3143,282,15,-30,0,534,4865572,-,3334,15099,-,2506,431,41,2,0,1708,3221493,-,-,-,3471,638,-149,-26,-32,0,-1174,1644079
2002,6334,-,-,-,2738,129,5,50,3,249,4587918,-,3009,14027,-,2287,367,30,21,2,1465,3117946,-,-,-,3325,451,-238,-25,29,1,-1216,1469972
2003,5589,-,-,-,2700,85,4,59,1,122,4390112,-,2755,13954,-,2254,303,27,6,0,1117,3097601,-,-,-,2834,446,-218,-23,53,1,-995,1292511
2004,5749,-,-,-,2473,174,11,95,2,545,3963802,-,2805,11687,-,2035,392,32,111,2,1578,2716100,-,-,-,2944,438,-218,-20,-16,0,-1033,1247702
2005,5438,-,-,-,2633,-113,-7,-17,1,-447,4263170,-,2557,13119,-,2133,255,23,39,1,978,2870918,-,-,-,2881,500,-368,-30,-56,0,-1425,1392252
2006,5638,-,-,-,2556,15,1,102,2,5,4211023,-,2544,12905,-,2085,298,29,125,3,1364,2732452,-,-,-,3094,471,-283,-27,-23,-1,-1359,1478571
2007,5591,-,-,-,2593,-9,-7,50,1,-549,4362666,-,2533,12920,-,2149,255,24,34,1,1031,2958647,-,-,-,3058,444,-264,-31,16,0,-1580,1404019
2008,6159,-,-,-,2830,-104,-16,-5,0,-995,5003933,-,2719,14107,-,2328,322,29,32,1,1140,3480674,-,-,-,3440,502,-426,-44,-37,-1,-2135,1523259
2009,8108,-,-,-,3621,-308,-33,118,3,-1531,7710791,-,3240,17707,-,2896,246,23,12,0,951,4726790,-,-,-,4868,725,-554,-57,106,3,-2482,2984001
2010,8316,-,-,-,3745,-87,-21,31,1,-1275,7469065,-,3262,17915,-,3010,452,37,110,2,1651,4677209,-,-,-,5054,734,-539,-58,-79,-1,-2926,2791856
2011,6946,-,-,-,3003,-24,-11,74,3,-551,6027869,-,2875,14689,-,2516,343,30,60,2,1273,4026213,-,-,-,4071,487,-367,-41,14,1,-1824,2001656
2012,7008,-,-,-,2962,105,5,-,-,-306,6362315,-,2955,14567,-,2452,572,47,-,-,1693,4193818,-,-,-,4053,510,-467,-42,-,-,-1999,2168497
2013,7330,-,-,-,2945,158,-1,-,-,-618,6832013,-,2977,14617,-,2427,489,38,-,-,1372,4463943,-,-,-,4353,518,-331,-39,-,-,-1990,2368070
2014,6280,-,-,-,2549,593,24,-,-,625,6038242,-,2571,13118,-,2085,604,43,-,-,1660,3873736,-,-,-,3709,464,-11,-19,-,-,-1035,2164506
2015,6133,-,-,-,2672,455,24,-,-,426,6887480,-,2601,14381,-,2276,502,41,-,-,1486,4755119,-,-,-,3532,396,-47,-17,-,-,-1060,2132361
2016,6910,-,-,-,2893,1380,55,-,-,1654,7216182,-,2955,16120,-,2446,850,62,-,-,2185,4936000,-,-,-,3955,447,530,-7,-,-,-531,2280182
2017,6944,-,-,-,3280,1124,43,-,-,1583,8854008,-,2980,17793,-,2775,946,63,-,-,2569,6053683,-,-,-,3964,505,178,-20,-,-,-986,2800325
2018,6821,-,-,-,3486,481,31,-,-,689,8971082,-,2977,18002,-,2927,794,63,-,-,2301,6405977,-,-,-,3844,559,-313,-32,-,-,-1612,2565105
2019,7146,-,-,-,3707,812,52,-,-,1329,10101400,-,3090,18822,-,3117,1079,88,-,-,2886,6978571,-,-,-,4056,590,-267,-35,-,-,-1557,3122829
2020,6940,-,-,-,3627,753,46,-,-,1513,11531841,-,3091,19335,-,3107,1032,70,-,-,2636,8295499,-,-,-,3849,521,-279,-23,-,-,-1123,3236342
2021,6835,-,-,-,3463,1055,67,-,-,2199,10762371,-,3072,17849,-,2953,960,72,-,-,2595,7751950,-,-,-,3763,510,95,-5,-,-,-396,3010421
Öffentliche Bauherren von Nichtwohngebäuden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,5160,-,-,-,2871,38,-8,-39,-2,-425,5112101,-,2680,13654,-,2296,149,11,65,1,569,3322529,-,-,-,2480,576,-111,-20,-104,-3,-994,1789572
2002,4858,-,-,-,2655,-6,-12,-31,1,-504,5190315,-,2487,13643,-,2242,268,14,68,3,713,3615514,-,-,-,2371,413,-274,-26,-99,-2,-1217,1574801
2003,4175,-,-,-,2541,-61,-10,-25,0,-528,4761618,-,2194,13060,-,2141,104,7,-,-,303,3310182,-,-,-,1981,400,-165,-17,-25,0,-831,1451436
2004,4297,-,-,-,2462,-258,-20,95,0,-959,4472665,-,2248,12313,-,2059,150,11,56,1,549,3161457,-,-,-,2049,403,-408,-30,39,-1,-1508,1311208
2005,4157,-,-,-,2489,-49,-10,-12,0,-431,4505982,-,2100,12403,-,2066,121,8,-,-,380,3094708,-,-,-,2057,423,-170,-18,-12,0,-811,1411274
2006,4121,-,-,-,2146,1,-6,17,1,-283,3942601,-,2000,10552,-,1757,222,14,50,2,606,2545171,-,-,-,2121,389,-221,-19,-33,0,-889,1397430
2007,3960,-,-,-,2213,-128,-14,-130,-5,-821,4594514,-,1932,11273,-,1818,122,9,-,-,472,3244992,-,-,-,2028,395,-250,-23,-130,-5,-1293,1349522
2008,4535,-,-,-,2617,-349,-22,-136,-3,-1156,5285121,-,2196,13290,-,2204,42,4,49,1,212,3716481,-,-,-,2339,413,-391,-26,-185,-4,-1368,1568640
2009,6250,-,-,-,3577,-249,-23,120,2,-885,8745267,-,2813,18779,-,2989,144,10,88,1,500,5728147,-,-,-,3437,588,-393,-33,32,1,-1385,3017120
2010,5896,-,-,-,3186,-267,-28,-38,1,-1524,7494254,-,2583,17024,-,2641,60,4,168,3,385,4786229,-,-,-,3313,544,-327,-33,-206,-3,-1909,2708025
2011,4512,-,-,-,2359,-83,-16,57,1,-689,5721439,-,2076,11685,-,1933,158,10,44,1,452,3676949,-,-,-,2436,426,-241,-26,13,0,-1141,2044490
2012,4541,-,-,-,2274,-106,-12,-,-,-669,5732169,-,2056,11242,-,1893,113,9,-,-,341,3637571,-,-,-,2485,382,-219,-22,-,-,-1010,2094598
2013,4792,-,-,-,2324,-153,-16,-,-,-847,6317662,-,2163,12647,-,1986,107,7,-,-,288,4146666,-,-,-,2629,338,-260,-23,-,-,-1135,2170996
2014,4187,-,-,-,2207,129,-4,-,-,-289,5804714,-,1887,11656,-,1873,265,14,-,-,525,3832529,-,-,-,2300,334,-136,-18,-,-,-814,1972185
2015,4179,-,-,-,2282,156,-3,-,-,-408,6483609,-,1976,12175,-,1988,265,12,-,-,445,4465763,-,-,-,2203,293,-109,-15,-,-,-853,2017846
2016,4908,-,-,-,2718,549,10,-,-,198,7495218,-,2383,14390,-,2333,158,11,-,-,426,5297250,-,-,-,2525,385,391,-1,-,-,-228,2197968
2017,5001,-,-,-,2654,-60,-10,-,-,-538,7985726,-,2282,14024,-,2248,257,17,-,-,725,5406759,-,-,-,2719,406,-317,-27,-,-,-1263,2578967
2018,4812,-,-,-,2982,-293,-22,-,-,-1024,8619675,-,2302,16450,-,2595,140,10,-,-,367,6280914,-,-,-,2510,386,-433,-32,-,-,-1391,2338761
2019,5344,-,-,-,3389,65,-6,-,-,-523,10847241,-,2594,17841,-,2866,388,28,-,-,801,7622406,-,-,-,2750,522,-323,-34,-,-,-1324,3224835
2020,5109,-,-,-,3503,-176,-13,-,-,-518,11494203,-,2570,18909,-,3083,250,14,-,-,606,8285654,-,-,-,2539,419,-426,-27,-,-,-1124,3208549
2021,4925,-,-,-,3577,-32,-12,-,-,-713,11892884,-,2515,19257,-,3109,365,22,-,-,832,8895391,-,-,-,2410,467,-397,-35,-,-,-1545,2997493
Unternehmen als Bauherren von Nichtwohngebäuden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,38725,-,-,-,34144,4123,393,194,8,15788,23749098,-,26312,197149,-,30413,4122,369,223,7,15705,19947456,-,-,-,12413,3731,1,24,-29,1,83,3801643
2002,33444,-,-,-,28048,3704,338,431,13,13597,20444771,-,22857,162643,-,24973,3563,315,549,13,13600,17303086,-,-,-,10587,3075,141,23,-118,-1,-3,3141685
2003,30227,-,-,-,25364,3340,317,321,7,12674,18213244,-,20830,150161,-,22767,3135,284,373,9,11870,15101540,-,-,-,9397,2597,205,32,-52,-2,804,3111704
2004,29843,-,-,-,23531,3037,304,259,8,12417,15884936,-,20175,139966,-,20795,2851,261,272,6,11323,13107105,-,-,-,9668,2736,186,43,-13,1,1094,2777831
2005,29188,-,-,-,23490,2487,255,464,9,10547,15157058,-,19201,138884,-,20301,2355,220,410,7,9482,12380323,-,-,-,9987,3189,132,35,54,2,1065,2776735
2006,32188,-,-,-,26964,3173,304,536,14,12019,17940922,-,21483,166505,-,23741,2737,251,495,13,10635,14639285,-,-,-,10705,3223,436,53,41,2,1384,3301637
2007,32965,-,-,-,29970,2872,262,252,5,10068,20602772,-,21895,189316,-,26539,2941,244,204,5,10090,16951380,-,-,-,11070,3432,-69,18,48,0,-22,3651392
2008,35538,-,-,-,34560,2452,222,312,9,8641,23744245,-,23522,222099,-,30288,2423,221,324,8,9097,19708502,-,-,-,12016,4271,29,0,-12,0,-456,4035743
2009,31142,-,-,-,26066,2261,193,95,4,7231,18895494,-,20780,161009,-,23450,2153,187,230,6,7571,15466455,-,-,-,10362,2616,108,5,-135,-2,-340,3429039
2010,32519,-,-,-,25648,2228,197,-24,0,6937,17287517,-,21919,160109,-,22853,2307,199,105,3,7776,13876424,-,-,-,10600,2795,-79,-2,-129,-3,-839,3411093
2011,34730,-,-,-,28923,3516,278,306,8,9755,21349136,-,23038,186090,-,25591,3430,259,266,7,10149,17366595,-,-,-,11692,3332,86,19,40,1,-394,3982541
2012,32951,-,-,-,28663,2896,251,-,-,8725,22123261,-,21344,185386,-,25543,2634,229,-,-,8468,18195641,-,-,-,11607,3120,262,22,-,-,257,3927620
2013,30906,-,-,-,27030,4277,294,-,-,10765,22130617,-,19735,171728,-,23876,3273,250,-,-,9252,17877341,-,-,-,11171,3154,1004,44,-,-,1513,4253276
2014,29220,-,-,-,24869,4265,329,-,-,11400,22136965,-,18354,160737,-,21956,3403,272,-,-,9694,17504968,-,-,-,10866,2913,862,57,-,-,1706,4631997
2015,29211,-,-,-,25881,3666,282,-,-,9584,22969112,-,18113,167624,-,22928,2476,209,-,-,7691,18487073,-,-,-,11098,2953,1190,73,-,-,1893,4482039
2016,30791,-,-,-,27591,6201,419,-,-,14285,26820255,-,19423,184534,-,24719,4669,327,-,-,11590,22023923,-,-,-,11368,2872,1532,92,-,-,2695,4796332
2017,28409,-,-,-,27836,5874,361,-,-,13255,27696059,-,17556,187234,-,25109,3568,253,-,-,9322,22759713,-,-,-,10853,2727,2306,108,-,-,3933,4936346
2018,28719,-,-,-,29012,5268,344,-,-,11953,31179050,-,17987,192872,-,26469,4459,303,-,-,10962,25994722,-,-,-,10732,2543,809,41,-,-,991,5184328
2019,27909,-,-,-,28754,5277,374,-,-,13095,32878124,-,17431,189150,-,26209,4354,322,-,-,11402,27532026,-,-,-,10478,2545,923,52,-,-,1693,5346098
2020,26893,-,-,-,28633,5853,420,-,-,14638,33250582,-,16977,199786,-,26397,5169,364,-,-,13366,28037914,-,-,-,9916,2236,684,56,-,-,1272,5212668
2021,28292,-,-,-,29121,7093,480,-,-,16859,34453348,-,18121,199226,-,26433,5783,389,-,-,14027,29064150,-,-,-,10171,2688,1310,91,-,-,2832,5389198
"Unternehm.d.Land-u.Forstw.,Fischerei a.Bauherr.NWG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,11122,-,-,-,5419,453,50,13,0,2066,1712627,-,9109,29772,-,5071,209,23,1,0,957,1518011,-,-,-,2013,347,244,27,12,0,1109,194616
2002,11003,-,-,-,5388,440,43,37,1,1810,1795552,-,9027,30379,-,5031,235,24,3,0,984,1606614,-,-,-,1976,357,205,19,34,1,826,188938
2003,10166,-,-,-,5161,390,46,-,-,1817,1633183,-,8395,28951,-,4844,186,24,-,-,924,1445195,-,-,-,1771,317,204,23,-,-,893,187988
2004,9376,-,-,-,4414,410,42,50,1,1799,1338576,-,7674,25032,-,4096,228,24,20,0,1047,1170134,-,-,-,1702,318,182,18,30,1,752,168442
2005,8960,-,-,-,4285,401,43,18,0,1860,1325633,-,7273,23813,-,3957,170,19,5,0,808,1142091,-,-,-,1687,328,231,24,13,0,1052,183542
2006,10128,-,-,-,5108,424,44,31,1,1899,1514843,-,8325,28580,-,4754,197,21,22,1,942,1333764,-,-,-,1803,354,227,22,9,0,957,181079
2007,9556,-,-,-,4949,281,32,-6,0,1159,1467309,-,7748,27434,-,4572,164,19,-,-,718,1285822,-,-,-,1808,377,117,13,-6,0,441,181487
2008,11069,-,-,-,6374,221,24,8,0,995,1898803,-,8976,36865,-,5887,96,11,5,0,436,1668951,-,-,-,2093,487,125,13,3,0,559,229852
2009,11032,-,-,-,6671,271,31,14,0,1234,1987360,-,9105,39229,-,6249,128,15,6,0,606,1777548,-,-,-,1927,421,143,16,8,0,628,209812
2010,11785,-,-,-,7366,221,26,12,0,965,2113853,-,9768,43921,-,6860,134,16,-,-,607,1898564,-,-,-,2017,506,87,9,12,0,358,215289
2011,10933,-,-,-,6613,314,32,17,0,1263,2056129,-,9079,40248,-,6127,159,16,12,0,670,1831457,-,-,-,1854,486,155,16,5,0,593,224672
2012,10497,-,-,-,6550,317,33,-,-,1199,2092586,-,8386,39526,-,6046,101,12,-,-,440,1837071,-,-,-,2111,504,216,21,-,-,759,255515
2013,9279,-,-,-,6155,309,30,-,-,1112,2039525,-,7267,37339,-,5666,148,16,-,-,592,1789778,-,-,-,2012,488,161,14,-,-,520,249747
2014,8313,-,-,-,4712,350,30,-,-,1125,1671799,-,6442,28895,-,4305,185,13,-,-,524,1449346,-,-,-,1871,407,165,17,-,-,601,222453
2015,7582,-,-,-,4347,240,26,-,-,915,1604071,-,5777,26422,-,3982,97,11,-,-,394,1364359,-,-,-,1805,364,143,16,-,-,521,239712
2016,6818,-,-,-,3930,279,29,-,-,1051,1448678,-,5231,23876,-,3604,134,14,-,-,530,1254231,-,-,-,1587,326,145,15,-,-,521,194447
2017,6300,-,-,-,4021,301,28,-,-,1077,1425110,-,4800,24485,-,3688,136,12,-,-,454,1234798,-,-,-,1500,334,165,15,-,-,623,190312
2018,6600,-,-,-,4183,310,28,-,-,1081,1501947,-,5062,25847,-,3855,141,11,-,-,423,1293222,-,-,-,1538,328,169,17,-,-,658,208725
2019,6338,-,-,-,3766,293,33,-,-,1156,1520552,-,4896,22910,-,3442,135,16,-,-,590,1303276,-,-,-,1442,324,158,17,-,-,566,217276
2020,6957,-,-,-,3894,384,41,-,-,1506,1637291,-,5269,23623,-,3523,177,20,-,-,745,1395018,-,-,-,1688,371,207,21,-,-,761,242273
2021,7561,-,-,-,4323,468,43,-,-,1603,1787565,-,5746,26744,-,3950,211,18,-,-,680,1506281,-,-,-,1815,373,257,25,-,-,923,281284
Unternehm.d.Prod.Gew.als Bauherren v.Nichtwohngeb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,10569,-,-,-,11355,665,81,10,0,3090,6932532,-,7031,71186,-,9626,584,70,10,0,2785,5738377,-,-,-,3538,1729,81,11,-,0,305,1194155
2002,8263,-,-,-,8350,415,52,74,2,2068,5376001,-,5428,52205,-,7148,353,43,-,-,1693,4451758,-,-,-,2835,1202,62,9,74,2,375,924243
2003,7289,-,-,-,7356,454,56,-10,0,2144,5036232,-,4791,50478,-,6366,368,44,-,-,1775,4177633,-,-,-,2498,990,86,12,-10,0,369,858599
2004,7552,-,-,-,7120,456,54,19,0,2196,4224986,-,4990,44695,-,5989,373,43,10,0,1763,3470238,-,-,-,2562,1131,83,11,9,0,433,754748
2005,7359,-,-,-,7147,397,44,-5,0,1743,4372685,-,4713,46062,-,5942,243,28,-,-,1123,3554829,-,-,-,2646,1205,154,17,-5,0,620,817856
2006,8171,-,-,-,8325,437,53,-18,0,1966,5216810,-,5239,54524,-,6896,330,39,5,0,1569,4120897,-,-,-,2932,1429,107,14,-23,-1,397,1095913
2007,9598,-,-,-,10418,352,37,7,0,1441,6841342,-,6165,70918,-,8866,285,32,-,-,1279,5547792,-,-,-,3433,1552,67,5,7,0,162,1293550
2008,10035,-,-,-,11659,285,33,6,0,1290,7766333,-,6417,80759,-,9825,265,33,7,0,1269,6407467,-,-,-,3618,1833,20,0,-1,0,21,1358866
2009,7279,-,-,-,7282,210,25,-21,0,879,5154749,-,4626,51609,-,6264,185,22,-,-,853,4230470,-,-,-,2653,1019,25,3,-21,0,26,924279
2010,7319,-,-,-,6789,216,26,-,-,871,4550152,-,4758,46322,-,5767,184,22,-,-,790,3718341,-,-,-,2561,1022,32,3,-,-,81,831811
2011,8692,-,-,-,8791,239,30,-,-,1016,6417944,-,5627,61177,-,7476,221,26,-,-,957,5189155,-,-,-,3065,1315,18,4,-,-,59,1228789
2012,8457,-,-,-,9007,190,23,-,-,786,7428701,-,5350,63624,-,7657,182,21,-,-,797,6201040,-,-,-,3107,1350,8,1,-,-,-11,1227661
2013,7794,-,-,-,7854,301,31,-,-,1037,6430594,-,4928,55513,-,6766,265,30,-,-,1080,5292031,-,-,-,2866,1088,36,1,-,-,-43,1138563
2014,7576,-,-,-,7867,394,32,-,-,1122,7124682,-,4667,53809,-,6717,259,29,-,-,1041,5775479,-,-,-,2909,1151,135,3,-,-,81,1349203
2015,7556,-,-,-,7524,248,27,-,-,952,6535176,-,4636,51746,-,6432,210,23,-,-,860,5299975,-,-,-,2920,1092,38,4,-,-,92,1235201
2016,7834,-,-,-,8029,406,41,-,-,1486,7193014,-,4806,53907,-,6640,316,34,-,-,1255,5855369,-,-,-,3028,1389,90,7,-,-,231,1337645
2017,7548,-,-,-,8351,333,37,-,-,1195,8388439,-,4695,59083,-,7130,319,35,-,-,1168,6941394,-,-,-,2853,1222,14,2,-,-,27,1447045
2018,7771,-,-,-,8667,358,37,-,-,1233,9082638,-,4904,61248,-,7702,277,32,-,-,1147,7697319,-,-,-,2867,965,81,5,-,-,86,1385319
2019,7301,-,-,-,8807,320,38,-,-,1420,9793008,-,4493,60258,-,7731,283,31,-,-,1135,8189694,-,-,-,2808,1076,37,7,-,-,285,1603314
2020,6488,-,-,-,7339,390,39,-,-,1358,8286544,-,4079,54238,-,6529,354,35,-,-,1282,6996373,-,-,-,2409,810,36,4,-,-,76,1290171
2021,6859,-,-,-,7304,422,44,-,-,1509,8294331,-,4328,54680,-,6459,317,36,-,-,1259,7035072,-,-,-,2531,845,105,8,-,-,250,1259259
"Unternehm.v.Handel, Kreditinst.u.a. als Bauh.v.NWG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,17034,-,-,-,17371,3005,261,171,8,10632,15103938,-,10172,96191,-,15716,3329,276,212,7,11963,12691067,-,-,-,6862,1655,-324,-14,-41,1,-1331,2412871
2002,14178,-,-,-,14310,2849,243,320,9,9719,13273218,-,8402,80060,-,12794,2975,249,546,13,10923,11244714,-,-,-,5776,1516,-126,-6,-226,-4,-1204,2028504
2003,12772,-,-,-,12847,2496,214,331,8,8713,11543829,-,7644,70732,-,11557,2581,217,373,9,9171,9478712,-,-,-,5128,1290,-85,-2,-42,-1,-458,2065117
2004,12915,-,-,-,11997,2171,208,190,6,8422,10321374,-,7511,70240,-,10710,2250,193,242,6,8513,8466733,-,-,-,5404,1287,-79,14,-52,1,-91,1854641
2005,12869,-,-,-,12058,1689,167,451,9,6944,9458740,-,7215,69009,-,10402,1942,173,405,7,7551,7683403,-,-,-,5654,1655,-253,-6,46,2,-607,1775337
2006,13889,-,-,-,13531,2312,208,523,14,8154,11209269,-,7919,83401,-,12091,2210,191,468,12,8124,9184624,-,-,-,5970,1440,102,17,55,2,30,2024645
2007,13811,-,-,-,14604,2239,193,251,5,7468,12294121,-,7982,90964,-,13101,2492,193,204,5,8093,10117766,-,-,-,5829,1503,-253,0,47,0,-625,2176355
2008,14434,-,-,-,16527,1946,165,298,8,6356,14079109,-,8129,104476,-,14576,2062,178,312,8,7392,11632084,-,-,-,6305,1951,-116,-13,-14,0,-1036,2447025
2009,12831,-,-,-,12113,1780,136,102,3,5118,11753385,-,7049,70171,-,10937,1840,150,224,6,6112,9458437,-,-,-,5782,1176,-60,-13,-122,-2,-994,2294948
2010,13415,-,-,-,11493,1791,146,-36,0,5101,10623512,-,7393,69866,-,10227,1989,160,105,3,6379,8259519,-,-,-,6022,1266,-198,-14,-141,-4,-1278,2363993
2011,15105,-,-,-,13518,2963,216,289,8,7476,12875063,-,8332,84665,-,11988,3050,217,254,7,8522,10345983,-,-,-,6773,1531,-87,-1,35,1,-1046,2529080
2012,13997,-,-,-,13106,2389,196,-,-,6740,12601974,-,7608,82237,-,11841,2351,196,-,-,7231,10157530,-,-,-,6389,1266,38,0,-,-,-491,2444444
2013,13833,-,-,-,13022,3667,234,-,-,8616,13660498,-,7540,78877,-,11444,2860,205,-,-,7580,10795532,-,-,-,6293,1578,807,29,-,-,1036,2864966
2014,13331,-,-,-,12289,3521,267,-,-,9153,13340484,-,7245,78033,-,10934,2959,229,-,-,8129,10280143,-,-,-,6086,1355,562,38,-,-,1024,3060341
2015,14073,-,-,-,14010,3178,229,-,-,7717,14829865,-,7700,89455,-,12513,2169,175,-,-,6437,11822739,-,-,-,6373,1497,1009,54,-,-,1280,3007126
